% Simple motion regarding inserting the end effector in opeed boxes following waypoints %

r	0	0.750769	0.463997	0.25809	0.826468	0.035764	-0.0164476	0.561606

r	1	0.721402	0.459022	0.388323	0.787256	0.0145169	-0.0332344	0.615559

r	2	0.669289	-0.00769819	0.315495	0.76356	0.0447301	-0.0120662	0.644072

r	3	0.70006	0.0277814	0.0412122	0.986027	0.0085265	0.0192989	0.165243

r	4	0.644203	-0.00265699	0.340184	0.707158	0.0380477	-0.00674113	0.705999

r	5	0.728511	0.469425	0.402924	0.830895	0.0328944	-0.0364956	0.554255

r	6	0.775514	0.469693	0.286158	0.806547	0.00086285	-0.0407375	0.589764

r	7	0.719153	0.466298	0.43576	0.817077	0.0277825	-0.030768	0.575036

r	8	0.686177	-0.261988	0.401738	0.78456	0.0225742	-0.0257492	0.619106

r	9	0.74098	-0.260338	0.133545	0.82025	-0.0133284	-0.0362887	0.570698

r	10	0.693456	-0.304277	0.411713	0.824933	0.0440596	0.00638503	0.563474

r	11	0.699776	0.430895	0.457511	0.752521	0.0480197	0.0135553	0.656675

r	12	0.778737	0.454084	0.242898	0.769417	-0.00890681	-0.0321377	0.637876

r	13	0.743883	0.459339	0.42928	0.762175	0.050743	-0.0337418	0.644497

r	14	0.703666	-0.611771	0.293004	0.958595	0.0112296	-0.0305533	0.282905

r	15	0.754486	-0.61194	0.0425462	0.97434	-0.0526928	-0.034815	0.216039

r	16	0.738672	-0.585776	0.348697	0.956418	0.0125021	-0.0258038	0.29059

