% Simple motion regarding inserting the end effector in opeed boxes for both arms (waypoints) %

l	1	0.76835	0.440255	0.267702	0.937784	-0.00910245	-0.0215922	-0.346427
r	1	0.662853	-0.00130456	0.299587	0.812055	0.0440543	-0.0484166	0.579898

l	2	0.68216	0.00417981	0.296739	0.726676	-0.0108335	0.00597519	-0.686869
r	2	0.688975	-0.276676	0.299221	0.772771	0.0340496	-0.0435238	0.632275

l	3	0.681611	0.00358175	0.29592	0.725922	-0.0100084	0.00611704	-0.687677
r	3	0.741009	-0.258214	0.0850076	0.843887	-0.0117015	-0.0481122	0.534232

l	4	0.681922	0.00376993	0.297027	0.726279	-0.0103264	0.00585282	-0.687297
r	4	0.701045	-0.26952	0.321626	0.841313	0.0115385	-0.0555047	0.537567

l	5	0.737793	-0.272622	0.325383	0.996536	-0.0380206	-0.00797939	-0.0735271
r	5	0.716829	-0.631531	0.295468	0.922099	-0.0457225	-0.0557639	0.380174

l	6	0.753416	-0.270571	0.0426945	0.996304	-0.00271638	0.0482392	-0.0710214
r	6	0.764711	-0.634003	0.0480253	0.943361	-0.0456705	-0.0601451	0.323057

l	7	0.784963	-0.285306	0.317894	0.998079	-0.0397977	-0.00892415	-0.0466362
r	7	0.714895	-0.624371	0.328012	0.968764	-0.030757	-0.0586247	0.238986

l	0	0.768913	0.440885	0.288053	0.938038	-0.00884289	-0.0220538	-0.345718
r	7	0.714895	-0.624371	0.328012	0.968764	-0.030757	-0.0586247	0.238986

